model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Random Forest,0.9672743166149971,0.0026379415237589793,0.9727890520179757,0.006661730165496631,0.9528528528528529,0.006620242548062656,0.9626812962747012,0.0030052231260001856,0.9943007971059485,0.0010854825404385626
SVM,0.9584932970937559,0.0036427112206829956,0.9663898391773926,0.008040572549842629,0.9390390390390391,0.0037507495485876044,0.9524947315700046,0.004007209139786163,0.9858388452352577,0.0022157582521752464
Logistic Regression,0.9280297560906556,0.0034551341674854087,0.9306180046438302,0.007558406015919494,0.9051051051051051,0.006606606606606614,0.9176457670456714,0.003870598755185575,0.9786831848572124,0.0023411082932236044
Baseline (Stratified),0.509645248510072,0.01553610994864168,0.4471810089020772,0.017343191924275927,0.45255255255255256,0.01755151855399695,0.44985074626865673,0.01744673336859994,0.5038022740578749,0.015743432260572097
Baseline (Most Frequent),0.557004076952478,0.00014433545751526061,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
