threshold,precision,recall,f1,false_positive_rate,false_negative_rate,tp,fp,tn,fn
0.009624081977315908,0.4431047475508666,1.0,0.6140992167101827,1.0,0.0,588.0,739.0,0.0,0.0
0.009930974919616338,0.6215644820295984,1.0,0.7666232073011734,0.4844384303112314,0.0,588.0,358.0,381.0,0.0
0.010088034758111441,0.6228813559322034,1.0,0.7676240208877284,0.4817320703653586,0.0,588.0,356.0,383.0,0.0
0.010183448206786098,0.625531914893617,1.0,0.7696335078534031,0.476319350473613,0.0,588.0,352.0,387.0,0.0
0.010247552811734287,0.6261980830670927,1.0,0.7701375245579568,0.4749661705006766,0.0,588.0,351.0,388.0,0.0
0.010305126439461762,0.6268656716417911,1.0,0.7706422018348624,0.4736129905277402,0.0,588.0,350.0,389.0,0.0
0.010328245415087638,0.6275346851654215,1.0,0.7711475409836066,0.4722598105548038,0.0,588.0,349.0,390.0,0.0
0.01040956673583463,0.6282051282051282,1.0,0.7716535433070866,0.4709066305818674,0.0,588.0,348.0,391.0,0.0
0.010574114736470169,0.6288770053475936,1.0,0.7721602101116218,0.469553450608931,0.0,588.0,347.0,392.0,0.0
0.010645420632192868,0.6893317702227433,1.0,0.8160999306037474,0.35859269282814615,0.0,588.0,265.0,474.0,0.0
0.010690826847942828,0.6901408450704225,1.0,0.8166666666666667,0.3572395128552097,0.0,588.0,264.0,475.0,0.0
0.010968133620902515,0.690951821386604,1.0,0.817234190410007,0.35588633288227334,0.0,588.0,263.0,476.0,0.0
0.011188074530585224,0.691764705882353,1.0,0.8178025034770514,0.35453315290933696,0.0,588.0,262.0,477.0,0.0
0.01125843130636885,0.6925795053003534,1.0,0.8183716075156576,0.3531799729364005,0.0,588.0,261.0,478.0,0.0
0.011616829108894073,0.6942148760330579,1.0,0.8195121951219512,0.35047361299052776,0.0,588.0,259.0,480.0,0.0
0.012156617415491212,0.7405541561712846,1.0,0.8509406657018813,0.2787550744248985,0.0,588.0,206.0,533.0,0.0
0.012175666190113312,0.7433628318584071,1.0,0.8527918781725888,0.2746955345060893,0.0,588.0,203.0,536.0,0.0
0.012472037727462458,0.7443037974683544,1.0,0.8534107402031931,0.2733423545331529,0.0,588.0,202.0,537.0,0.0
0.012761039495793713,0.7461928934010152,1.0,0.8546511627906976,0.2706359945872801,0.0,588.0,200.0,539.0,0.0
0.013064058274524205,0.7706422018348624,1.0,0.8704663212435233,0.2368064952638701,0.0,588.0,175.0,564.0,0.0
0.013584942317786874,0.7716535433070866,1.0,0.8711111111111111,0.2354533152909337,0.0,588.0,174.0,565.0,0.0
