feature,importance
SSLfinal_State,0.3487367435681598
URL_of_Anchor,0.24414043359852083
web_traffic,0.06403150090376672
having_Sub_Domain,0.05811526254732337
Prefix_Suffix,0.04062658681967673
Links_in_tags,0.04027483732138634
SFH,0.01904269166944662
Links_pointing_to_page,0.018802050914457216
Request_URL,0.018628696134158282
age_of_domain,0.016251872560140664
Domain_registeration_length,0.016069867066765272
having_IP_Address,0.01358770263441956
Page_Rank,0.01268261142268784
Google_Index,0.012328983558797996
DNSRecord,0.01128869545497519
URL_Length,0.007885082415992702
HTTPS_token,0.006205067150087111
Redirect,0.005504876236206496
having_At_Symbol,0.00525309337677921
Submitting_to_email,0.005190392169925272
Shortining_Service,0.005172485915032808
popUpWidnow,0.004899831827275859
Statistical_report,0.004705438447153433
Abnormal_URL,0.00430642160959246
double_slash_redirecting,0.0036571865505880367
on_mouseover,0.003311120669649178
Favicon,0.0033109908052531088
port,0.0023842025669688787
Iframe,0.0022971240734102395
RightClick,0.0013081500114028395
