k,features,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
30,"SSLfinal_State,URL_of_Anchor,Prefix_Suffix,web_traffic,having_Sub_Domain,Request_URL,Links_in_tags,SFH,Domain_registeration_length,Google_Index,age_of_domain,Page_Rank,having_IP_Address,URL_Length,Links_pointing_to_page,DNSRecord,Statistical_report,Shortining_Service,Abnormal_URL,having_At_Symbol,double_slash_redirecting,HTTPS_token,Favicon,on_mouseover,port,popUpWidnow,Iframe,Redirect,RightClick,Submitting_to_email",0.9672743166149971,0.0026379415237589793,0.9727890520179757,0.006661730165496631,0.9528528528528529,0.006620242548062656,0.9626812962747012,0.0030052231260001856,0.9943007971059485,0.0010854825404385626
20,"SSLfinal_State,URL_of_Anchor,Prefix_Suffix,web_traffic,having_Sub_Domain,Request_URL,Links_in_tags,SFH,Domain_registeration_length,Google_Index,age_of_domain,Page_Rank,having_IP_Address,URL_Length,Links_pointing_to_page,DNSRecord,Statistical_report,Shortining_Service,Abnormal_URL,having_At_Symbol",0.9643473690916041,0.0017664269848315683,0.9680081480336684,0.006879018545130218,0.951051051051051,0.007979177330682544,0.9594011079476218,0.0020855883558958004,0.9939969209763737,0.0010766977275222021
15,"SSLfinal_State,URL_of_Anchor,Prefix_Suffix,web_traffic,having_Sub_Domain,Request_URL,Links_in_tags,SFH,Domain_registeration_length,Google_Index,age_of_domain,Page_Rank,having_IP_Address,URL_Length,Links_pointing_to_page",0.9580945378746055,0.0030395059736147353,0.9592510257344464,0.006006897189871706,0.9456456456456456,0.00835461125720333,0.9523571052197131,0.0035707698604629614,0.9922819974404222,0.0018714622860478737
10,"SSLfinal_State,URL_of_Anchor,Prefix_Suffix,web_traffic,having_Sub_Domain,Request_URL,Links_in_tags,SFH,Domain_registeration_length,Google_Index",0.947185327925709,0.006732756991624328,0.9447742573671174,0.0038199712329300833,0.9354354354354355,0.012598304482524322,0.9400548972808045,0.007909899936093982,0.9860349810978978,0.0019684712130386807
