train_size,train_score_mean,train_score_std,validation_score_mean,validation_score_std
601,0.9970739553118854,0.002399116053040704,0.9217371519469723,0.006091859468976155
1954,0.9944076920623779,0.0009040988519890526,0.9436083067329483,0.004489540696484585
3307,0.9915517931667084,0.0017624678233864868,0.9515771272560984,0.005143789391576268
4660,0.9900651928685299,0.0007483507822094543,0.9573860767387536,0.0030275331660821825
6013,0.9891255989663492,0.0007524919416361354,0.9627103212117518,0.003578605808059035
